STATE_CODED,nhousehold,FPL_line_2019,FPL_line_2020,FPL_line_2021,FPL_line_2022,FPL_line_2023,FPL_line_2024,FPL_line_2025
1,1,12490,12760,12880,13590,14580,15060,15650
1,2,16910,17240,17420,18310,19720,20440,21150
1,3,21330,21720,21960,23030,24860,25820,26650
1,4,25750,26200,26500,27750,30000,31200,32150
1,5,30170,30680,31040,32470,35140,36580,37650
1,6,34590,35160,35580,37190,40280,41960,43150
1,7,39010,39640,40120,41910,45420,47340,48650
1,8,43430,44120,44660,46630,50560,52720,54150
1,9,47850,48600,49200,51350,55700,58100,59650
1,10,52270,53080,53740,56070,60840,63480,65150
1,11,56690,57560,58280,60790,65980,68860,70650
1,12,61110,62040,62820,65510,71120,74240,76150
1,13,65530,66520,67360,70230,76260,79620,81650
1,14,69950,71000,71900,74950,81400,85000,87150
1,15,74370,75480,76440,79670,86540,90380,92650
1,16,78790,79960,80980,84390,91680,95760,98150
1,17,83210,84440,85520,89110,96820,101140,103650
1,18,87630,88920,90060,93830,101960,106520,109150
1,19,92050,93400,94600,98550,107100,111900,114650
1,20,96470,97880,99140,103270,112240,117280,120150
1,21,100890,102360,103680,107990,117380,122660,125650
2,1,15600,15950,16090,16990,18210,18810,19550
2,2,21130,21550,21770,22890,24640,25540,26430
2,3,26660,27150,27450,28790,31070,32270,33310
2,4,32190,32750,33130,34690,37500,39000,40190
2,5,37720,38350,38810,40590,43930,45730,47070
2,6,43250,43950,44490,46490,50360,52460,53950
2,7,48780,49550,50170,52390,56790,59190,60830
2,8,54310,55150,55850,58290,63220,65920,67710
2,9,59840,60750,61530,64190,69650,72650,74590
2,10,65370,66350,67210,70090,76080,79380,81470
2,11,70900,71950,72890,75990,82510,86110,88350
2,12,76430,77550,78570,81890,88940,92840,95230
2,13,81960,83150,84250,87790,95370,99570,102110
2,14,87490,88750,89930,93690,101800,106300,108990
2,15,93020,94350,95610,99590,108230,113030,115870
2,16,98550,99950,101290,105490,114660,119760,122750
2,17,104080,105550,106970,111390,121090,126490,129630
2,18,109610,111150,112650,117290,127520,133220,136510
2,19,115140,116750,118330,123190,133950,139950,143390
2,20,120670,122350,124010,129090,140380,146680,150270
2,21,126200,127950,129690,134990,146810,153410,157150
3,1,14380,14680,14820,15630,16770,17310,17990
3,2,19460,19830,20040,21060,22680,23500,24320
3,3,24540,24980,25260,26490,28590,29690,30650
3,4,29620,30130,30480,31920,34500,35880,36980
3,5,34700,35280,35700,37350,40410,42070,43310
3,6,39780,40430,40920,42780,46320,48260,49640
3,7,44860,45580,46140,48210,52230,54450,55970
3,8,49940,50730,51360,53640,58140,60640,62300
3,9,55020,55880,56580,59070,64050,66830,68630
3,10,60100,61030,61800,64500,69960,73020,74960
3,11,65180,66180,67020,69930,75870,79210,81290
3,12,70260,71330,72240,75360,81780,85400,87620
3,13,75340,76480,77460,80790,87690,91590,93950
3,14,80420,81630,82680,86220,93600,97780,100280
3,15,85500,86780,87900,91650,99510,103970,106610
3,16,90580,91930,93120,97080,105420,110160,112940
3,17,95660,97080,98340,102510,111330,116350,119270
3,18,100740,102230,103560,107940,117240,122540,125600
3,19,105820,107380,108780,113370,123150,128730,131930
3,20,110900,112530,114000,118800,129060,134920,138260
3,21,115980,117680,119220,124230,134970,141110,144590
